type,formalTyping,code,type1,type2
PERATURAN DAERAH KABUPATEN BUTON,Peraturan Daerah Kabupaten Buton,Perkab_Buton,RegencyRegulation,Lembaran_Daerah_Kabupaten_Buton
PERATURAN PEMEIRNTAH REPUBLIK INDONESIA,Peraturan Pemerintah Republik Indonesia,PP,GovernmentRegulation,Lembaran_Negara
PERATURAN BADAN KEPENDUDUKAN DAN KELUARGA BERENCANA NASIONAL REPUBLIK INDONESIA,Peraturan Badan Kependudukan Dan Keluarga Berencana Nasional Republik Indonesia,Peraturan_BKKBN,AgencyRegulation,Berita_Negara
PERATURAN MENTERI KOORDINATOR BIDANG KEMARITIMAN REPUBLIK INDONESIA SELAKU KETUA KOMITE NASIONAL CTI-CFF INDONESIA,Peraturan Menteri Koordinator Bidang Kemaritiman Republik Indonesia,Permenko_Maritim,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH PROVINSI PAPUA,Peraturan Daerah Provinsi Papua,Perprov_Papua,ProvincialRegulation,Lembaran_Daerah_Provinsi_Papua
PERATURAN DAERAH KOTA PONTIANAK,Peraturan Daerah Kota Pontianak,Perkot_Pontianak,MunicipalityRegulation,Lembaran_Daerah_Kota_Pontianak
"PERATURAN MENTERI DESA, PEMBANGUNAN DAERAH TERTINGGAL, DAN TRANSMIGRASI REPUBLIK INDONESIA","Peraturan Menteri Desa, Pembangunan Daerah Tertinggal, Dan Transmigrasi Republik Indonesia",Permen_Desa,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN BENGKULU TENGAH,Peraturan Daerah Kabupaten Bengkulu Tengah,Perkab_Bengkulu_Tengah,RegencyRegulation,Lembaran_Daerah_Kabupaten_Bengkulu_Tengah
PERATURAN DAERAH CIREBON,Peraturan Daerah Kota Cirebon,Perkot_Cirebon,MunicipalityRegulation,Lembaran_Daerah_Kota_Cirebon
PERATURAN DAERAH KABUPATEN BANGKA TENGAH,Peraturan Daerah Kabupaten Bangka Tengah,Perkab_Bangka_Tengah,RegencyRegulation,Lembaran_Daerah_Kabupaten_Bangka_Tengah
PERATURAN DAERAH KABUPATEN KARAWANG,Peraturan Daerah Kabupaten Karawang,Perkab_Karawang,RegencyRegulation,Lembaran_Daerah_Kabupaten_Karawang
PERATURAN DAERAH KABUPATEN TULUNGAGUNG,Peraturan Daerah Kabupaten Tullungagung,Perkab_Tullungagung,RegencyRegulation,Lembaran_Daerah_Kabupaten_Tullungagung
"PERATURAN MENTERI PERHUBUNGAN REPUBLIK INDONESIA,",Peraturan Menteri Perhubungan Republik Indonesia,Permen_Hub,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN OGAN KOMERING ULU TIMUR,Peraturan Daerah Kabupaten Ogan Komering Ulu Timur,Perkab_Ogan_Komering_Ulu_Timur,RegencyRegulation,Lembaran_Daerah_Kabupaten_Ogan_Komering_Ulu_Timur
PERATURAN DAERAH KABUPATEN OGAN KOMERING ULU SELATAN,Peraturan Daerah Kabupaten Ogan Komering Ulu Selatan,Perkab_Ogan_Komering_Ulu_Selatan,RegencyRegulation,Lembaran_Daerah_Kabupaten_Ogan_Komering_Ulu_Selatan
PERATURAN KEPALA LEMBAGA ILMU PENGETAHUAN INDONESIA,Peraturan Lembaga Ilmu Pengetahuan Indonesia Republik Indonesia,Peraturan_LIPI,AgencyRegulation,Berita_Negara
PERATURAN DAERAH PROVINSI KEPULAUAN RIAU,Peraturan Daerah Provinsi Kepulauan Riau,Perprov_Kep_Riau,ProvincialRegulation,Lembaran_Daerah_Provinsi_Kepulauan_Riau
PERATURAN DEWAN PERWAKILAN RAKYAT REPUBLIK INDONESIA,Peraturan Dewan Perwakilan Rakyat Republik Indonesia,Peraturan_DPR,HouseOfRepresentativesRegulation,Berita_Negara
"PERATURAN MENTERI PERDAGANGAN REPUBLIK INDONESIA,",Peraturan Menteri Perdagangan Republik Indonesia,Permen_Dag,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN KAPUAS HULU,Peraturan Daerah Kabupaten Kapuas Hulu,Perkab_Kapuas_Hulu,RegencyRegulation,Lembaran_Daerah_Kabupaten_Kapuas_Hulu
PERATURAN DAERAH KABUPATEN ASAHAN,Peraturan Daerah Kabupaten Asahan,Perkab_Asahan,RegencyRegulation,Lembaran_Daerah_Kabupaten_Asahan
"PERATURAN MENTERI RISET, TEKNOLOGI, DAN PENDIDIKAN TINGGI REPUBLIK INDONESIA,",Peraturan Menteri Riset Teknologi Dan Pendidikan Tinggi Republik Indonesia,Permen_Ristekdikti,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KOTA PASURUAN,Peraturan Daerah Kota Pasuruan,Perkot_Pasuruan,MunicipalityRegulation,Lembaran_Daerah_Kota_Pasuruan
KEPUTUSAN MENTERI KEHUTANAN,Keputusan Menteri Kehutanan Republik Indonesia,Kepmen_Hut,MinisterialDecree,Berita_Negara
PERATURAN DAERAH KABUPATEN PROBOLINGGO,Peraturan Daerah Kabupaten Probolinggo,Perkab_Probolinggo,RegencyRegulation,Lembaran_Daerah_Kabupaten_Probolinggo
PERATURAN BADAN PENGKAJIAN DAN PENERAPAN TEKNOLOGI,Peraturan Badan Pengkajian Dan Penerapan Teknologi Republik Indonesia,Peraturan_BPPT,AgencyRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN PARIGI MOUTONG,Peraturan Daerah Kabupaten Parigi Moutong,Perkab_Parigi_Moutong,RegencyRegulation,Lembaran_Daerah_Kabupaten_Parigi_Moutong
PERATURAN DAERAH KABUPATEN OGAN KOMERING ILIR,Peraturan Daerah Kabupaten Ogan Komering Ilir,Perkab_Ogan_Komering_Ilir,RegencyRegulation,Lembaran_Daerah_Kabupaten_Ogan_Komering_Ilir
PERATURAN DAERAH PROPINSI KALIMANTAN TIMUR,Peraturan Daerah Provinsi Kalimantan Timur,Perprov_Kaltim,ProvincialRegulation,Lembaran_Daerah_Provinsi_Kalimantan_Timur
PERATURAN MENTERI KEUANGAN,Peraturan Menteri Keuangan Republik Indonesia,Permen_Keu,MinisterialRegulation,Berita_Negara
PERATURAN MENTERI PERTANIAN REPUBLIK INDONESIA/ KETUA HARIAN DEWAN KETAHANAN PANGAN,Peraturan Menteri Pertanian Republik Indonesia,Permen_Tan,MinisterialRegulation,Berita_Negara
PERATURAN BADAN NASIONAL PENEMPATAN DAN PERLINDUNGAN TENAGA KERJA INDONESIA REPUBLIK INDONESIA,Peraturan Badan Nasional Penempatan Dan Perlindungan Tenaga Kerja Indonesia Republik Indonesia,Peraturan_BNP2TKI,AgencyRegulation,Berita_Negara
PERATURAN WALIKOTA PADANG PANJANG,Peraturan Walikota  Padang Panjang,Perwali_Padang_Panjang,MayorRegulation,Berita_Daerah_Kota_Padang_Panjang
PERATURAN DAERAH KABUPATEN KARANGANYAR,Peraturan Daerah Kabupaten Karanganyar,Perkab_Karanganyar,RegencyRegulation,Lembaran_Daerah_Kabupaten_Karanganyar
PERATURAN DAERAH KABUPATEN GRESIK,Peraturan Daerah Kabupaten Gresik,Perkab_Gresik,RegencyRegulation,Lembaran_Daerah_Kabupaten_Gresik
PERATURAN BADAN PENGAWAS TENAGA NUKLIR,Peraturan Badan Pengawas Tenaga Nuklir Republik Indonesia,Peraturan_Bapeten,AgencyRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN TABALONG,Peraturan Daerah Kabupaten Tabalong,Perkab_Tabalong,RegencyRegulation,Lembaran_Daerah_Kabupaten_Tabalong
PERATURAN KEPALA ARSIP NASIONALREPUBLIKINDONESIA,Peraturan Arsip Nasional Republik Indonesia,Peraturan_ANRI,AgencyRegulation,Berita_Negara
PERATURAN KEPALA LEMBAGA SANDI NEGARAREPUBLIK INDONESIA,Peraturan Badan Siber Dan Sandi Negara Republik Indonesia,Peraturan_BSSN,AgencyRegulation,Berita_Negara
PERATURAN DAERAH KOTA SALATIGA,Peraturan Daerah Kota Salatiga,Perkot_Salatiga,MunicipalityRegulation,Lembaran_Daerah_Kota_Salatiga
PERATURAN PEMERINTA H REPUBLIK INDONESIA,Peraturan Pemerintah Republik Indonesia,PP,GovernmentRegulation,Lembaran_Negara
"PERATURAN BADAN METEOROLOGI, KLIMATOLOGI, DAN GEOFISIKA REPUBLIK INDONESIA","Peraturan Badan Meteorologi, Klimatologi, Dan Geofisika Republik Indonesia",Peraturan_BMKG,AgencyRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN JAYAPURA,Peraturan Daerah Kabupaten Jayapura,Perkab_Jayapura,RegencyRegulation,Lembaran_Daerah_Kabupaten_Jayapura
PERATURAN KEPALA BADAN PENGAWASAN OBAT DAN MAKANAN REPUBLIK INDONESIA,Peraturan Badan Pengawas Obat Dan Makanan Republik Indonesia,Peraturan_BPOM,AgencyRegulation,Berita_Negara
PERATURAN PEMERINTAH REPUBLIK I NDONESIA,Peraturan Pemerintah Republik Indonesia,PP,GovernmentRegulation,Lembaran_Negara
PERATURAN BADAN PENGATUR HILIR MINYAK DAN GAS BUMI,Peraturan Badan Pengatur Hilir Minyak Dan Gas Bumi Republik Indonesia,Peraturan_BPH_Migas,AgencyRegulation,Berita_Negara
PERATURAN BADAN PENGAWAS PEMILIHAN UMUM REPUBLIK INDONESIA NOMOR,Peraturan Badan Pengawas Pemilihan Umum Republik Indonesia,Peraturan_Bawaslu,AgencyRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN SINJAI,Peraturan Daerah Kabupaten Sinjai,Perkab_Sinjai,RegencyRegulation,Lembaran_Daerah_Kabupaten_Sinjai
PERATURAN DAERAH PROPINSI DAERAH TINGKAT I SUMATERA SELATAN,Peraturan Daerah Provinsi Sumatera Selatan,Perprov_Sumsel,ProvincialRegulation,Lembaran_Daerah_Provinsi_Sumatera_Selatan
PERATURAN MENTERI AGRARIA DAN TATA RUANG/ KEPALA BADAN PERTANAHAN NASIONAL REPUBLIK INDONESIA,Peraturan Menteri Agraria Dan Tata Ruang/ Kepala Badan Pertanahan Nasional Republik Indonesia,Permen_ATRBPN,MinisterialRegulation,Berita_Negara
PERATURAN KOMISI APARATUR SIPIL NEGARA REPUBLIK INDONESIA,Peraturan Komisi Aparatur Sipil Negara Republik Indonesia,Peraturan_KASN,AgencyRegulation,Berita_Negara
PERATURAN MENTERI PEKERJAAN UMUM DAN PERUMAHAN RAKYAT,Peraturan Menteri Pekerjaan Umum Dan Perumahan Rakyat Republik Indonesia,Permen_PUPR,MinisterialRegulation,Berita_Negara
"PERATURAN MENTERI PEKERJAAN UMUM REPUBLIK INDINESIA,",Peraturan Menteri Pekerjaan Umum Republik Indonesia,Permen_PU,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABI JPATEN DAERAH TINGKAT N PATI,Peraturan Daerah Kabupaten Pati,Perkab_Pati,RegencyRegulation,Lembaran_Daerah_Kabupaten_Pati
PERATURAN DAERAH KOTA SAMARINDA,Peraturan Daerah Kota Samarinda,Perkot_Samarinda,MunicipalityRegulation,Lembaran_Daerah_Kota_Samarinda
PERATURAN KEPALA BADAN STANDARDISASI NASIONAL REPUBLIK INDONESIA,Peraturan Badan Standardisasi Nasional Republik Indonesia,Peraturan_BSN,AgencyRegulation,Berita_Negara
PERATURAN KEPALA BADAN SAR NASIONAL,Peraturan Badan Nasional Pencarian Dan Pertolongan Republik Indonesia,Peraturan_Basarnas,AgencyRegulation,Berita_Negara
PERATURAN BADAN PUSAT STATISTIK,Peraturan Badan Pusat Statistik Republik Indonesia,Peraturan_BPS,AgencyRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN BULELENG,Peraturan Daerah Kabupaten Buleleng,Perkab_Buleleng,RegencyRegulation,Lembaran_Daerah_Kabupaten_Buleleng
PERATURAN DAERAH KABUPATEN SAWAHLUNTO/SIJUNJUNG,Peraturan Daerah Kabupaten Sawahlunto,Perkab_Sawahlunto,RegencyRegulation,Lembaran_Daerah_Kabupaten_Sawahlunto
PERATURAN MENTERI PENDAYAGUNAAN APARATUR NEGARA DAN REFORMASI BIROKRASI REPUBLIK INDONESIA,Peraturan Menteri Pendayagunaan Aparatur Negara Dan Reformasi Birokrasi Republik Indonesia,Permen_PANRB,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH PROV NS R AU,Peraturan Daerah Provinsi Riau,Perprov_Riau,ProvincialRegulation,Lembaran_Daerah_Provinsi_Riau
PERATURAN DAERAH KUPANG,Peraturan Daerah Kota Kupang,Perkot_Kupang,MunicipalityRegulation,Lembaran_Daerah_Kota_Kupang
PERATURAN DAERAH KABUPATEN DAERAH TINGKAT II INDRAMAYU,Peraturan Daerah Kabupaten Indramayu,Perkab_Indramayu,RegencyRegulation,Lembaran_Daerah_Kabupaten_Indramayu
PERATURAN DAERAH KOTA TERNATE,Peraturan Daerah Kota Ternate,Perkot_Ternate,MunicipalityRegulation,Lembaran_Daerah_Kota_Ternate
UNDANG-UNDANG REPUBLIK INDONESIA,Undang-Undang Republik Indonesia,UU,Act,Lembaran_Negara
PERATURAN KEPALA BADAN PENGAWAS OBAT DAN MAKANAN REPUBLIK INDONESIA,Peraturan Badan Pengawas Obat Dan Makanan Republik Indonesia,Peraturan_BPOM,AgencyRegulation,Berita_Negara
UNDANG-UNDANG REPUBLIK INDONESIA SERIKAT,Undang-Undang Republik Indonesia,UU,Act,Lembaran_Negara
PERATURAN DAERAH KABUPATEN KUANTAN SINGINGI,Peraturan Daerah Kabupaten Kuantan Singingi,Perkab_Kuantan_Singingi,RegencyRegulation,Lembaran_Daerah_Kabupaten_Kuantan_Singingi
PERATURAN DAERAH KABUPATEN JEPARA,Peraturan Daerah Kabupaten Jepara,Perkab_Jepara,RegencyRegulation,Lembaran_Daerah_Kabupaten_Jepara
"PERATURAN MENTERI PENDIDIKAN DAN KEBUDAYAAN REPUBLIK INDONESIA,",Peraturan Menteri Pendidikan Dan Kebudayaan Republik Indonesia,Permen_Dikbud,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH PROVINSI GORONTALO,Peraturan Daerah Provinsi Gorontalo,Perprov_Gorontalo,ProvincialRegulation,Lembaran_Daerah_Provinsi_Gorontalo
PERATURAN DAERAH KABUPATEN PONOROGO,Peraturan Daerah Kabupaten Ponorogo,Perkab_Ponorogo,RegencyRegulation,Lembaran_Daerah_Kabupaten_Ponorogo
PERATURAN MENTERI KESEHATAN REPUBLIK INDONESIA REPUBLIK INDONESIA,Peraturan Menteri Kesehatan Republik Indonesia,Permen_Kes,MinisterialRegulation,Berita_Negara
PERATURAN MENTERI PERDAGANGAN,Peraturan Menteri Perdagangan Republik Indonesia,Permen_Dag,MinisterialRegulation,Berita_Negara
KEPUTUSAN MENTERI PERINDUSTRIAN DAN PERDAGANGAN,Keputusan Menteri Perindustrian Dan Perdagangan  Republik Indonesia,Kepmen_Perindag,MinisterialDecree,Berita_Negara
PERATURAN DAERAH KABUPATEN SUKAMARA,Peraturan Daerah Kabupaten Sukamara,Perkab_Sukamara,RegencyRegulation,Lembaran_Daerah_Kabupaten_Sukamara
PERATURAN KEPALA BADAN KEPENDUDUKAN DAN KELUARGA BERENCANA NASIONAL,Peraturan Badan Kependudukan Dan Keluarga Berencana Nasional Republik Indonesia,Peraturan_BKKBN,AgencyRegulation,Berita_Negara
PERATURAN MENTERI PERINDUSTRIAN REPUBLIK INDONESIA,Peraturan Menteri Perindustrian Republik Indonesia,Permen_Perin,MinisterialRegulation,Berita_Negara
PERATURAN MENTERI KEUANGAN DONESIA,Peraturan Menteri Keuangan Republik Indonesia,Permen_Keu,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH PROPINSI SUMATERA BARAT,Peraturan Daerah Provinsi Sumatera Barat,Perprov_Sumbar,ProvincialRegulation,Lembaran_Daerah_Provinsi_Sumatera_Barat
PERATURAN DAERAH KABUPATEN TEGAL,Peraturan Daerah Kabupaten Tegal,Perkab_Tegal,RegencyRegulation,Lembaran_Daerah_Kabupaten_Tegal
PERATURAN DAERAH KABUPATEN BANJARNEGARA,Peraturan Daerah Kabupaten Banjarnegara,Perkab_Banjarnegara,RegencyRegulation,Lembaran_Daerah_Kabupaten_Banjarnegara
PERATURAN PEMERINTAH REPUBLLK INDONESIA,Peraturan Pemerintah Republik Indonesia,PP,GovernmentRegulation,Lembaran_Negara
PERATURANDAERAHKABUPATENDAERAHTINGKATIIPATI,Peraturan Daerah Kabupaten Pati,Perkab_Pati,RegencyRegulation,Lembaran_Daerah_Kabupaten_Pati
PERATURAN MENTERI KEHUTANAN REPUBLIK INDONESIA,Peraturan Menteri Kehutanan Republik Indonesia,Permen_Hut,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN BANYUMAS,Peraturan Daerah Kabupaten Banyumas,Perkab_Banyumas,RegencyRegulation,Lembaran_Daerah_Kabupaten_Banyumas
PERATURAN WALI KOTA TANGERANG,Peraturan Walikota  Tangerang,Perwali_Tangerang,MayorRegulation,Berita_Daerah_Kota_Tangerang
PERATURAN DAERAH KABUPATEN NGAWI,Peraturan Daerah Kabupaten Ngawi,Perkab_Ngawi,RegencyRegulation,Lembaran_Daerah_Kabupaten_Ngawi
"PERATURAN KEPALA BADAN NARKOTIKA NASIONAL REPUBLIK INDONESIA,",Peraturan Badan Narkotika Nasional Republik Indonesia,Peraturan_BNN,AgencyRegulation,Berita_Negara
PERATURAN DAERAH KOTA PADANG PANJANG,Peraturan Daerah Kota Padang Panjang,Perkot_Padang_Panjang,MunicipalityRegulation,Lembaran_Daerah_Kota_Padang_Panjang
PERATURAN DAERAH TULANG BAWANG,Peraturan Daerah Kabupaten Tulang Bawang,Perkab_Tulang_Bawang,RegencyRegulation,Lembaran_Daerah_Kabupaten_Tulang_Bawang
PERATURAN DAERAH KABUPATEN LAMONGAN,Peraturan Daerah Kabupaten Lamongan,Perkab_Lamongan,RegencyRegulation,Lembaran_Daerah_Kabupaten_Lamongan
PERATURAN MENTERI KOORDINATOR BIDANG KEMARITIMAN,Peraturan Menteri Koordinator Bidang Kemaritiman Republik Indonesia,Permenko_Maritim,MinisterialRegulation,Berita_Negara
PERATURAN KEPALA BADAN NASIONAL PENANGGULANGAN BENCANA,Peraturan Badan Nasional Penanggulangan Bencana Republik Indonesia,Peraturan_BNPB,AgencyRegulation,Berita_Negara
PERATURAN DAERAH KOTA SUKABUMI,Peraturan Daerah Kota Sukabumi,Perkot_Sukabumi,MunicipalityRegulation,Lembaran_Daerah_Kota_Sukabumi
PERATURAN KEPALA BADAN NASIONAL PENCARIAN DAN PERTOLONGAN,Peraturan Badan Nasional Pencarian Dan Pertolongan Republik Indonesia,Peraturan_Basarnas,AgencyRegulation,Berita_Negara
PERATURAN DAERAH PROVINSI KALIMANTAN BARAT,Peraturan Daerah Provinsi Kalimantan Barat,Perprov_Kalbar,ProvincialRegulation,Lembaran_Daerah_Provinsi_Kalimantan_Barat
PERATURAN DAERAH PROVINSI SULAWESI TENGAH,Peraturan Daerah Provinsi Sulawesi Tengah,Perprov_Sulteng,ProvincialRegulation,Lembaran_Daerah_Provinsi_Sulawesi_Tengah
PERATURAN PEMERINTAH PENGGANTI UNDANG-UNDANG,Peraturan Pemerintah Pengganti Undang-Undang Republik Indonesia,Perppu,GovernmentRegulationInLieuOfAct,Lembaran_Negara
KEPUTUSAN PRESIDEN REPUBLIK INDONESIA,Keputusan Presiden Republik Indonesia,Keppres,PresidentialDecree,Lembaran_Negara
PERATURAN DAERAH KABUPATEN SUMENEP,Peraturan Daerah Kabupaten Sumenep,Perkab_Sumenep,RegencyRegulation,Lembaran_Daerah_Kabupaten_Sumenep
PERATURAN DAERAH KOTA YOGYAKARTA,Peraturan Daerah Kota Yogyakarta,Perkot_Yogyakarta,MunicipalityRegulation,Lembaran_Daerah_Kota_Yogyakarta
PERATURAN DAERAH KABUPATEN NUNUKAN,Peraturan Daerah Kabupaten Nunukan,Perkab_Nunukan,RegencyRegulation,Lembaran_Daerah_Kabupaten_Nunukan
PERATURAN DAERAH KABUPATEN DAERAH TINGKAT I PATI,Peraturan Daerah Kabupaten Pati,Perkab_Pati,RegencyRegulation,Lembaran_Daerah_Kabupaten_Pati
PERATURAN DAERAH KABUPATEN BENGKULU SELATAN,Peraturan Daerah Kabupaten Bengkulu Selatan,Perkab_Bengkulu_Selatan,RegencyRegulation,Lembaran_Daerah_Kabupaten_Bengkulu_Selatan
PERATURAN KEPALA BADAN PUSAT STATISTIK,Peraturan Badan Pusat Statistik Republik Indonesia,Peraturan_BPS,AgencyRegulation,Berita_Negara
PERATURAN DAERAH KOTA SEMARANG,Peraturan Daerah Kota Semarang,Perkot_Semarang,MunicipalityRegulation,Lembaran_Daerah_Kota_Semarang
PERATURAN MENTERI AGRARIA DAN TATA RUANG/ KEPALA BADAN PERTANAHAN NASIONAL,Peraturan Menteri Agraria Dan Tata Ruang/ Kepala Badan Pertanahan Nasional Republik Indonesia,Permen_ATRBPN,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KOTA BENGKULU,Peraturan Daerah Kota Bengkulu,Perkot_Bengkulu,MunicipalityRegulation,Lembaran_Daerah_Kota_Bengkulu
PERATURAN BADAN KEPEGAWAIAN NEGARA REPUBLIK INDONESIA,Peraturan Badan Kepegawaian Negara Republik Indonesia,Peraturan_BKN,AgencyRegulation,Berita_Negara
PERATURAN DAERAH PROVINSI SUMATERA BARAT,Peraturan Daerah Provinsi Sumatera Barat,Perprov_Sumbar,ProvincialRegulation,Lembaran_Daerah_Provinsi_Sumatera_Barat
PERATURAN MENTERI TENAGA KERJA DAN TRANSMIGRASI,Peraturan Menteri Tenaga Kerja Dan Transmigrasi Republik Indonesia,Permen_Nakertrans,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN KEPULAUN MERANTI,Peraturan Daerah Kabupaten Kepulaun Meranti,Perkab_Kepulaun_Meranti,RegencyRegulation,Lembaran_Daerah_Kabupaten_Kepulaun_Meranti
PERATURAN MENTERI KOORDINATOR BIDANG PEMBANGUNAN MANUSIA DAN KEBUDAYAAN REPUBLIK INDONESIA,Peraturan Menteri Koordinator Bidang Pembangunan Manusia Dan Kebudayaan Republik Indonesia,Permenko_PMK,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN LOMBOK BARAT,Peraturan Daerah Kabupaten Lombok Barat,Perkab_Lombok_Barat,RegencyRegulation,Lembaran_Daerah_Kabupaten_Lombok_Barat
PERATURAN DAERAH KABUPATEN SOLOK,Peraturan Daerah Kabupaten Solok,Perkab_Solok,RegencyRegulation,Lembaran_Daerah_Kabupaten_Solok
PERATURAN MENTERI NEGARA PERENCANAAN PEMBANGUNAN NASIONAL/ KEPALA BADAN PERENCANAAN PEMBANGUNAN NASIONAL REPUBLIK INDONESIA,Peraturan Menteri Perencanaan Pembangunan Nasional/ Kepala Badan Perencanaan Pembangunan Nasional Republik Indonesia,Permen_Bappenas,MinisterialRegulation,Berita_Negara
PERATURAN PEMERINTAH REPUBLIK INDONESIA,Peraturan Pemerintah Republik Indonesia,PP,GovernmentRegulation,Lembaran_Negara
PERATURAN DAERAH KABUPATEN KETAPANG,Peraturan Daerah Kabupaten Ketapang,Perkab_Ketapang,RegencyRegulation,Lembaran_Daerah_Kabupaten_Ketapang
"PERATURAN MENTERI RISET, TEKNOLOGI DAN PENDIDIKAN TINGGI REPUBLIK INDONESIA",Peraturan Menteri Riset Teknologi Dan Pendidikan Tinggi Republik Indonesia,Permen_Ristekdikti,MinisterialRegulation,Berita_Negara
PERATURAN MENTERI PERHUBUNGAN REPUBLIK INDONESIA,Peraturan Menteri Perhubungan Republik Indonesia,Permen_Hub,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN OGAN KOMERING ULU,Peraturan Daerah Kabupaten Ogan Komering Ulu,Perkab_Ogan_Komering_Ulu,RegencyRegulation,Lembaran_Daerah_Kabupaten_Ogan_Komering_Ulu
PERATURAN DAERAH KABUPATEN INDRAGIRI HILIR,Peraturan Daerah Kabupaten Indragiri Hilir,Perkab_Indragiri_Hilir,RegencyRegulation,Lembaran_Daerah_Kabupaten_Indragiri_Hilir
PERATURAN KEPALA BADAN NASIONAL PENEMPATAN DAN PERLINDUNGAN TENAGA KERJA INDONESIA,Peraturan Badan Nasional Penempatan Dan Perlindungan Tenaga Kerja Indonesia Republik Indonesia,Peraturan_BNP2TKI,AgencyRegulation,Berita_Negara
PERATURAN KEPALA LEMBAGA KEBIJAKAN PENGADAAN BARANG/ JASA PEMERINTAH,Peraturan Lembaga Kebijakan Pengadaan Barang/jasa Pemerintah Republik Indonesia,Peraturan_LKPP,AgencyRegulation,Berita_Negara
PERATURAN PEMERINTAH REPUBLIK IDONESIA,Peraturan Pemerintah Republik Indonesia,PP,GovernmentRegulation,Lembaran_Negara
PERATURAN KEPALA BADAN PENGAWAS PERDAGANGAN BERJANGKA KOMODITI REPUBLIK INDONESIA,Peraturan Badan Pengawas Perdagangan Berjangka Komoditi Republik Indonesia,Peraturan_Bappebti,AgencyRegulation,Berita_Negara
PERATURAN DAERAH PROVINSI KALIMANTAN SELATAN,Peraturan Daerah Provinsi Kalimantan Selatan,Perprov_Kalsel,ProvincialRegulation,Lembaran_Daerah_Provinsi_Kalimantan_Selatan
PERATURAN DAERAH KABUPATEN PURWAKARTA,Peraturan Daerah Kabupaten Purwakarta,Perkab_Purwakarta,RegencyRegulation,Lembaran_Daerah_Kabupaten_Purwakarta
PERATURAN DAERAH KOTAMADYA DAERAH TINGKAT II KUPANG,Peraturan Daerah Kota Kupang,Perkot_Kupang,MunicipalityRegulation,Lembaran_Daerah_Kota_Kupang
PERATURAN DAERAH KABUPATEN ROKAN HILIR,Peraturan Daerah Kabupaten Rokan Hilir,Perkab_Rokan_Hilir,RegencyRegulation,Lembaran_Daerah_Kabupaten_Rokan_Hilir
PERATURAN BERSAMA MENTERI KELAUTAN DAN PERIKANAN REPUBLIK INDONESIA DAN KEPALA BADAN KEPEGAWAIAN NEGARA REPUBLIK INDONESIA,Peraturan Bersama Menteri Kelautan Dan Perikanan Republik Indonesia Dan Kepala Badan Kepegawaian Negara Republik Indonesia,PB_MENKP_BKN,JointRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN HULU SUNGAI UTARA,Peraturan Daerah Kabupaten Hulu Sungai Utara,Perkab_Hulu_Sungai_Utara,RegencyRegulation,Lembaran_Daerah_Kabupaten_Hulu_Sungai_Utara
PERATURAN MENTERI RISET TEKNOLOGI DAN PENDIDIKAN TINGGI REPUBLIK INDONESIA,Peraturan Menteri Riset Teknologi Dan Pendidikan Tinggi Republik Indonesia,Permen_Ristekdikti,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN KENDAL,Peraturan Daerah Kabupaten Kendal,Perkab_Kendal,RegencyRegulation,Lembaran_Daerah_Kabupaten_Kendal
PERATURAN DAERAH PROVINSI JAWA TENGAH,Peraturan Daerah Provinsi Jawa Tengah,Perprov_Jateng,ProvincialRegulation,Lembaran_Daerah_Provinsi_Jawa_Tengah
PERATURAN DAERAH KABUPATEN REMBANG,Peraturan Daerah Kabupaten Rembang,Perkab_Rembang,RegencyRegulation,Lembaran_Daerah_Kabupaten_Rembang
PERATURAN MENTERI PARIWISATA DAN EKONOMI KREATIF REPUBLIK INDONESIA,Peraturan Menteri Pariwisata Dan Ekonomi Kreatif Republik Indonesia,Permen_Parekraf,MinisterialRegulation,Berita_Negara
PERATURAN DEWAN JAMINAN SOSIAL NASIONAL,Peraturan Dewan Jaminan Sosial Nasional Republik Indonesia,Peraturan_DJSN,AgencyRegulation,Berita_Negara
PERATURAN PRESIDEN REPUBLIK NDONESIA,Peraturan Presiden Republik Indonesia,Perpres,PresidentialRegulation,Lembaran_Negara
