type,formalTyping,code,type1,type2
PERATURAN DAERAH KABUPATEN OGAN KOMERNG ULU TIMUR,Peraturan Daerah Kabupaten Ogan Komering Ulu Timur,Perkab_Ogan_Komering_Ulu_Timur,RegencyRegulation,Lembaran_Daerah_Kabupaten_Ogan_Komering_Ulu_Timur
PERATURAN KEPALA BADAN PENGAWAS TENAGA NUKLIR,Peraturan Badan Pengawas Tenaga Nuklir Republik Indonesia,Peraturan_Bapeten,AgencyRegulation,Berita_Negara
PERATURAN KOMISI PENGAWAS PERSAINGAN USAHA REPUBLIK INDONESIA,Peraturan Komisi Pengawas Persaingan Usaha Republik Indonesia,Peraturan_KPPU,AgencyRegulation,Berita_Negara
PERATURAN KOMISI INFORMASI,Peraturan Komisi Informasi Republik Indonesia,Peraturan_KI,AgencyRegulation,Berita_Negara
PERATURAN DAERAH PROPINSI DERAH TINGKAT I JAWA TENGAH,Peraturan Daerah Provinsi Jawa Tengah,Perprov_Jateng,ProvincialRegulation,Lembaran_Daerah_Provinsi_Jawa_Tengah
PERATURAN KEPALA BADAN NASIONAL PENANGGULANGAN BENCANA REPUBLIK INDONESIA,Peraturan Badan Nasional Penanggulangan Bencana Republik Indonesia,Peraturan_BNPB,AgencyRegulation,Berita_Negara
PERATURAN DAERAH PROVINSI IRIAN JAYA BARAT,Peraturan Daerah Provinsi Irian Jaya Barat,Perprov_Irba,ProvincialRegulation,Lembaran_Daerah_Provinsi_Irian_Jaya_Barat
PERATURAN DAERAH KABUPATEN PASER,Peraturan Daerah Kabupaten Paser,Perkab_Paser,RegencyRegulation,Lembaran_Daerah_Kabupaten_Paser
PERATURAN DAERAH PROPINSI JAWA BARAT,Peraturan Daerah Provinsi Jawa Barat,Perprov_Jabar,ProvincialRegulation,Lembaran_Daerah_Provinsi_Jawa_Barat
PERATURANDAERAHKABUPATENBALANGAN,Peraturan Daerah Kabupaten Balangan,Perkab_Balangan,RegencyRegulation,Lembaran_Daerah_Kabupaten_Balangan
PERATURAN DAERAH KABUPATEN WAY KANAN,Peraturan Daerah Kabupaten Way Kanan,Perkab_Way_Kanan,RegencyRegulation,Lembaran_Daerah_Kabupaten_Way_Kanan
PERATURAN DAERAH KABUPATEN WAJO,Peraturan Daerah Kabupaten Wajo,Perkab_Wajo,RegencyRegulation,Lembaran_Daerah_Kabupaten_Wajo
PERATURAN DAERAH KABUPATEN BEKASI,Peraturan Daerah Kabupaten Bekasi,Perkab_Bekasi,RegencyRegulation,Lembaran_Daerah_Kabupaten_Bekasi
PERATURAN DAERAH KOTAMADYA DAERAH TINGKAT II BANDA ACEH,Peraturan Daerah Kota Banda Aceh,Perkot_Banda_Aceh,MunicipalityRegulation,Lembaran_Daerah_Kota_Banda_Aceh
"PERATURANMENTERI KOORDINATOR BIDANG POLITIK, HUKUM, DAN KEAMANAN REPUBLIK INDONESIA","Peraturan Menteri Koordinator Bidang Politik, Hukum, Dan Keamanan Republik Indonesia",Permenko_Polhukam,MinisterialRegulation,Berita_Negara
PERATURAN PERPUSTAKAAN NASIONAL,Peraturan Perpustakaan Nasional Republik Indonesia,Peraturan_Perpusnas,AgencyRegulation,Berita_Negara
PERATURAN DAERAH I ABUPATEN BALANGAN,Peraturan Daerah Kabupaten Balangan,Perkab_Balangan,RegencyRegulation,Lembaran_Daerah_Kabupaten_Balangan
PERATURAN DAERAH KABUPATEN BANDUNG,Peraturan Daerah Kabupaten Bandung,Perkab_Bandung,RegencyRegulation,Lembaran_Daerah_Kabupaten_Bandung
PERATURAN KEPALA PUSAT PELAPORAN DAN ANALISIS TRANSAKSI KEUANGAN REPUBLIK INDONESIA,Peraturan Pusat Pelaporan Dan Analisis Transaksi Keuangan Republik Indonesia,Peraturan_PPATK,AgencyRegulation,Berita_Negara
