object,uri
Karang Baru,wd:Q5733766
Karanganyar,wd:Q12489393
Karanganyar,wd:Q2207913
Karanganyar,wd:Q3964101
Karanganyar,wd:Q10616
Karawang,wd:Q10375
Kebumen,wd:Q4079521
Kebumen,wd:Q10617
Kebumen,wd:Q12490154
Kediri,wd:Q11084
Kediri,wd:Q176766
Kediri,wd:Q11443
Kendal,wd:Q1215650
Kendal,wd:Q3550507
Kendal,wd:Q994575
Kendal,wd:Q10618
Kepala Kepolisian Negara Republik Indonesia,wd:Q28723955
Kepala Kepolisian Negara Republik Indonesia,wd:Q11282034
Ketua Mahkamah Agung Republik Indonesia,wd:Q12515781
Ketua Mahkamah Agung Republik Indonesia,wd:Q12501175
Ketua Mahkamah Agung Republik Indonesia,wd:Q8026958
Ketua Mahkamah Agung Republik Indonesia,wd:Q12473288
Ketua Mahkamah Agung Republik Indonesia,wd:Q12471492
Ketua Mahkamah Agung Republik Indonesia,wd:Q12479853
Ketua Mahkamah Agung Republik Indonesia,wd:Q12507534
Ketua Mahkamah Agung Republik Indonesia,wd:Q12499315
Ketua Mahkamah Agung Republik Indonesia,wd:Q17411416
Ketua Mahkamah Agung Republik Indonesia,wd:Q12485443
Ketua Mahkamah Agung Republik Indonesia,wd:Q12485315
Ketua Mahkamah Agung Republik Indonesia,wd:Q17410540
Ketua Mahkamah Agung Republik Indonesia,wd:Q25469938
Khofifah Indar Parawansa,wd:Q12491600
Koba,wd:Q15829792
Koba,wd:Q4197752
Kota Jantho,wd:Q2509337
Kotabaru,wd:Q14174
Kudus,wd:Q10620
Kudus,wd:Q15877593
Kuningan,wd:Q10376
Kuningan,wd:Q879867
Kuningan,wd:Q39782
Kupang,wd:Q1231738
Kupang,wd:Q27855
Kupang,wd:Q14155
Lamongan,wd:Q11086
Larantuka,wd:Q1805875
Larantuka,wd:Q485762
Laz,wd:Q634134
Lhokseumawe,wd:Q5784
Lima Puluh,wd:Q5264884
Lipi,wd:Q27827218
Longki Djanggola,wd:Q10860294
Luhut Binsar Pandjaitan,wd:Q14917375
Lukas Enembe,wd:Q12495539
Lukman Hakim Saifuddin,wd:Q16188358
Lumajang,wd:Q11087
Luwuk,wd:Q2152993
Madiun,wd:Q11444
Madiun,wd:Q11091
Magelang,wd:Q11017
Magelang,wd:Q10621
Majalengka,wd:Q10377
Majalengka,wd:Q887467
